spec,error,class,className,method
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase3,BrokenCryptoBBCase3,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase10,BrokenCryptoABICase10,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase8,BrokenHashABICase8,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase5,BrokenCryptoABICase5,go
KeyPairGeneratorSpec,InvalidKeySize,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase1,InsecureAsymmetricCipherABICase1,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABMC1,BrokenHashABMC1,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase10,BrokenHashABICase10,method1
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.Crypto5,Crypto5,encrypt
PBEKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordABHCase2,PredictablePBEPasswordABHCase2,key
KeyPairSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherBBCase1,InsecureAsymmetricCipherBBCase1,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase9,BrokenHashABICase9,method1
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.CryptoHash2,CryptoHash2,encrypt
SecureRandomSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictableseeds.PredictableSeedsABHCase4,PredictableSeedsABHCase4,main
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase7,BrokenCryptoABICase7,go
PBEKeySpec,UnsatisfiedConstraint,first argument should have been randomized br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordABICase3.method2(PredictablePBEPasswordABICase3.java:28),java:28),first argument should have been randomized br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordABICase3.method2(PredictablePBEPasswordABICase3.java:28)
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase13,BrokenCryptoABICase13,method1
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC4,BrokenCryptoABMC4,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoABICase2,EcbInSymmCryptoABICase2,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashBBCase1,BrokenHashBBCase1,main
MacSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenmac.BrokenMacBBCase1,BrokenMacBBCase1,main
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase5,BrokenHashABICase5,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABMC3,BrokenHashABMC3,go
SecretKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablecryptographickey.PredictableCryptographicKeyABMC1,PredictableCryptographicKeyABMC1,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoBBCase1,EcbInSymmCryptoBBCase1,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase4,BrokenCryptoBBCase4,go
KeyPairGeneratorSpec,InvalidKeySize,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase3,InsecureAsymmetricCipherABICase3,method1
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase1,BrokenCryptoBBCase1,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase12,BrokenCryptoABICase12,method1
SecretKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.credentialinstring.CredentialInStringABICase2,CredentialInStringABICase2,go
PBEKeySpec,UnsatisfiedConstraint,first argument should have been randomized br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordBBCase2.key(PredictablePBEPasswordBBCase2.java:22),java:22),first argument should have been randomized br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordBBCase2.key(PredictablePBEPasswordBBCase2.java:22)
PBEKeySpec,UnsatisfiedConstraint,first argument should have been randomized br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordBBCase1.key(PredictablePBEPasswordBBCase1.java:22),java:22),first argument should have been randomized br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordBBCase1.key(PredictablePBEPasswordBBCase1.java:22)
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.Crypto6,Crypto6,encrypt
KeyPairGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase1,InsecureAsymmetricCipherABICase1,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase4,BrokenCryptoABICase4,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABMC2,BrokenHashABMC2,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase1,BrokenHashABICase1,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase11,BrokenHashABICase11,method1
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoABICase3,EcbInSymmCryptoABICase3,method1
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.CryptoHash1,CryptoHash1,encrypt
PBEKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordABICase2,PredictablePBEPasswordABICase2,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC3,BrokenCryptoABMC3,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase6,BrokenCryptoABICase6,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.Crypto2,Crypto2,encrypt
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase2,BrokenCryptoBBCase2,go
SecureRandomSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictableseeds.PredictableSeedsBBCase2,PredictableSeedsBBCase2,main
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABMC4,BrokenHashABMC4,go
MacSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenmac.BrokenMacBBCase2,BrokenMacBBCase2,main
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase4,BrokenHashABICase4,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.BrokenHashBBCase4,BrokenHashBBCase4,main
