name,package,is_multidex,min_sdk,target_sdk,tipo,erro,features, permissions,providers,libraries
SandwichRoulette,com.maxfierke.sandwichroulette,False,7,10,,,[],[],[],[]
PhotoPhase,com.ruesga.android.wallpapers.photophase,False,15,27,,,"['android.software.live_wallpaper', 'android.hardware.nfc']","['com.ruesga.android.wallpapers.photophase.BIND_PERMISSION', 'android.permission.GET_TASKS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.CHANGE_NETWORK_STATE', 'android.permission.CHANGE_WIFI_STATE', 'com.ruesga.android.wallpapers.photophase.WRITE_CONTENT_PERMISSION', 'android.permission.NFC']",['com.ruesga.android.wallpapers.photophase.providers.TemporaryContentAccessProvider'],[]
DAVx⁵,at.bitfire.davdroid,True,21,33,,,['android.hardware.location.gps'],"['android.permission.WRITE_SYNC_SETTINGS', 'android.permission.GET_ACCOUNTS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.FOREGROUND_SERVICE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.WAKE_LOCK', 'android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS', 'android.permission.WRITE_CALENDAR', 'android.permission.WRITE_CONTACTS', 'at.techbee.jtx.permission.WRITE', 'org.tasks.permission.WRITE_TASKS', 'android.permission.INTERNET', 'android.permission.READ_SYNC_SETTINGS', 'android.permission.AUTHENTICATE_ACCOUNTS', 'org.tasks.permission.READ_TASKS', 'at.techbee.jtx.permission.READ', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_CALENDAR', 'android.permission.READ_CONTACTS', 'org.dmfs.permission.WRITE_TASKS', 'android.permission.MANAGE_ACCOUNTS', 'org.dmfs.permission.READ_TASKS', 'android.permission.POST_NOTIFICATIONS', 'android.permission.READ_SYNC_STATS', 'at.bitfire.davdroid.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION']","['at.bitfire.davdroid.webdav.DavDocumentsProvider', 'at.bitfire.davdroid.syncadapter.AddressBookProvider', 'androidx.core.content.FileProvider']","['androidx.window.extensions', 'androidx.window.sidecar']"
Infomaniak Mail,com.infomaniak.mail,True,25,34,,,[],"['com.infomaniak.mail.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.FOREGROUND_SERVICE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.WAKE_LOCK', 'android.permission.READ_CONTACTS', 'android.permission.USE_BIOMETRIC', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.POST_NOTIFICATIONS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.USE_FINGERPRINT', 'android.permission.INTERNET']","['androidx.startup.InitializationProvider', 'androidx.core.content.FileProvider', 'io.sentry.android.core.SentryInitProvider', 'io.sentry.android.core.SentryPerformanceProvider']","['androidx.window.extensions', 'androidx.window.sidecar']"
@7F080027,com.outdoordevs.ellaism.wallet,True,16,26,,,"['android.hardware.camera', 'android.hardware.fingerprint', 'android.hardware.camera.autofocus', 'android.hardware.telephony', 'android.hardware.location', 'android.hardware.location.gps', 'android.hardware.location.network', 'android.hardware.microphone']","['android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.CAMERA', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.USE_FINGERPRINT', 'android.permission.INTERNET']",['com.squareup.picasso.PicassoProvider'],[]
OpenPass,com.example.openpass,False,16,16,,,[],[],[],[]
Tron Wallet,com.eletac.tronwallet,True,21,27,,,"['android.hardware.camera', 'android.hardware.camera.front', 'android.hardware.camera.autofocus', 'android.hardware.camera.flash', 'android.hardware.screen.landscape', 'android.hardware.wifi']","['android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.CAMERA']",['android.arch.lifecycle.ProcessLifecycleOwnerInitializer'],[]
Kernel Adiutor,com.nhellfire.kerneladiutor,False,15,27,,,"['android.hardware.touchscreen', 'android.software.leanback']","['cyanogenmod.permission.PUBLISH_CUSTOM_TILE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_SUPERUSER', 'android.permission.WAKE_LOCK', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.USE_FINGERPRINT', 'android.permission.INTERNET']",[],[]
kDrive,com.infomaniak.drive,True,21,34,,,"['android.hardware.camera', 'android.hardware.camera.autofocus']","['android.permission.GET_ACCOUNTS', 'android.permission.FOREGROUND_SERVICE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.WAKE_LOCK', 'android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS', 'android.permission.INTERNET', 'android.permission.ACCESS_MEDIA_LOCATION', 'android.permission.USE_FINGERPRINT', 'android.permission.AUTHENTICATE_ACCOUNTS', 'android.permission.READ_MEDIA_IMAGES', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.READ_MEDIA_VIDEO', 'android.permission.MANAGE_ACCOUNTS', 'android.permission.REQUEST_INSTALL_PACKAGES', 'com.infomaniak.drive.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.REORDER_TASKS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.USE_BIOMETRIC', 'android.permission.CAMERA', 'android.permission.POST_NOTIFICATIONS']","['androidx.core.content.FileProvider', 'com.infomaniak.drive.data.documentprovider.CloudStorageProvider', 'androidx.startup.InitializationProvider', 'io.sentry.android.core.SentryInitProvider', 'io.sentry.android.core.SentryPerformanceProvider']","['androidx.window.extensions', 'androidx.window.sidecar']"
Mi Manga Nu,ar.rulosoft.mimanganu,False,14,26,,,[],"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.WAKE_LOCK', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET']",['android.support.v4.content.FileProvider'],[]
