mop_file,rule,clause,predicate,negated,argument,property,verdict,bucket,group,note
CipherInputStreamSpec.mop,CipherInputStream,REQUIRES,generatedCipher,no,cipher,,missing,capability-absent,5,no Property constant exists
CipherInputStreamSpec.mop,CipherInputStream,ENSURES,cipheredInputStream,no,inputStream,,missing,capability-absent,5,no Property constant exists
CipherOutputStreamSpec.mop,CipherOutputStream,REQUIRES,generatedCipher,no,cipher,,missing,capability-absent,5,no Property constant exists
CipherOutputStreamSpec.mop,CipherOutputStream,ENSURES,cipheredOutputStream,no,outputStream,,missing,capability-absent,5,no Property constant exists
CipherSpec.mop,Cipher,REQUIRES,generatedKey,no,key,GENERATED_KEY,present,,,
CipherSpec.mop,Cipher,REQUIRES,randomized,no,random,RANDOMIZED,missing,translation-defect,4,
CipherSpec.mop,Cipher,REQUIRES,preparedAlg,no,params,,missing,capability-absent,5,no Property constant exists
CipherSpec.mop,Cipher,REQUIRES,macced,yes,_,GENERATED_MAC,missing,translation-defect,4,
CipherSpec.mop,Cipher,REQUIRES,preparedIV,no,paramSpec,PREPARED_IV,missing,translation-defect,4,
CipherSpec.mop,Cipher,REQUIRES,preparedGCM,no,paramSpec,PREPARED_GCM,missing,translation-defect,4,
CipherSpec.mop,Cipher,REQUIRES,preparedOAEP,no,paramSpec,,missing,capability-absent,5,no Property constant exists
CipherSpec.mop,Cipher,ENSURES,generatedCipher,no,this,,recorded,deliberate-omission,4.3,"Same substitution: CipherSpec.mop:217 marks the cipher as in an accepting state instead of writing a predicate over `this`. The two REQUIRES of generatedCipher in the stream specifications are a separate matter -- they need a constant and a reader, and are not absolved here."
CipherSpec.mop,Cipher,ENSURES,encrypted,no,preCipherText,ENCRYPTED,present,,,
CipherSpec.mop,Cipher,ENSURES,encrypted,no,cipherText,ENCRYPTED,present,,,
CipherSpec.mop,Cipher,ENSURES,encrypted,no,cipherTextByteBuffer,ENCRYPTED,present,,,
CipherSpec.mop,Cipher,ENSURES,wrappedKey,no,wrappedKeyBytes,WRAPPED_KEY,present,,,
DHGenParameterSpecSpec.mop,DHGenParameterSpec,ENSURES,preparedDH,no,this,PREPARED_DH,present,,,
GCMParameterSpecSpec.mop,GCMParameterSpec,REQUIRES,randomized,no,src,RANDOMIZED,present,,,
GCMParameterSpecSpec.mop,GCMParameterSpec,ENSURES,preparedGCM,no,this,PREPARED_GCM,present,,,
HMACParameterSpecSpec.mop,HMACParameterSpec,ENSURES,preparedHMAC,no,this,PREPARED_HMAC,present,,,
IvParameterSpec.mop,IvParameterSpec,REQUIRES,randomized,no,iv,RANDOMIZED,present,,,
IvParameterSpec.mop,IvParameterSpec,ENSURES,preparedIV,no,this,PREPARED_IV,present,,,
KeyGeneratorSpec.mop,KeyGenerator,REQUIRES,randomized,no,random,RANDOMIZED,missing,translation-defect,4,
KeyGeneratorSpec.mop,KeyGenerator,ENSURES,generatedKey,no,key,GENERATED_KEY,present,,,
KeyManagerFactorySpec.mop,KeyManagerFactory,REQUIRES,generatedKeyStore,no,keyStore,GENERATED_KEY_STORE,missing,translation-defect,4,
KeyManagerFactorySpec.mop,KeyManagerFactory,REQUIRES,generatedManagerFactoryParameters,no,params,,missing,capability-absent,5,no Property constant exists
KeyManagerFactorySpec.mop,KeyManagerFactory,ENSURES,generatedKeyManager,no,this,GENERATED_KEY_MANAGERS,present,,,
KeyManagerFactorySpec.mop,KeyManagerFactory,ENSURES,generatedKeyManagers,no,keyManager,GENERATED_KEY_MANAGERS,present,,,
KeyPairGeneratorSpec.mop,KeyPairGenerator,REQUIRES,preparedRSA,no,params,,missing,capability-absent,5,no Property constant exists
KeyPairGeneratorSpec.mop,KeyPairGenerator,REQUIRES,preparedDSA,no,params,,missing,capability-absent,5,no Property constant exists
KeyPairGeneratorSpec.mop,KeyPairGenerator,REQUIRES,preparedDH,no,params,PREPARED_DH,missing,translation-defect,4,
KeyPairGeneratorSpec.mop,KeyPairGenerator,REQUIRES,preparedEC,no,params,,missing,capability-absent,5,no Property constant exists
KeyPairGeneratorSpec.mop,KeyPairGenerator,ENSURES,generatedKeypair,no,keyPair,GENERATED_KEY_PAIR,present,,,
KeyPairSpec.mop,KeyPair,REQUIRES,generatedPrivkey,no,privateKey,GENERATED_PRIVATE_KEY,missing,translation-defect,4,
KeyPairSpec.mop,KeyPair,REQUIRES,generatedPubkey,no,publicKey,GENERATED_PUBLIC_KEY,missing,translation-defect,4,
KeyPairSpec.mop,KeyPair,ENSURES,generatedKeypair,no,this,GENERATED_KEY_PAIR,missing,translation-defect,4,
KeyPairSpec.mop,KeyPair,ENSURES,generatedPubkey,no,retPublicKey,GENERATED_PUBLIC_KEY,present,,,
KeyPairSpec.mop,KeyPair,ENSURES,generatedPrivkey,no,retPrivateKey,GENERATED_PRIVATE_KEY,wrong-constant,translation-defect,4,"KeyPairSpec.mop:38 writes GENERATED_PUBLIC_KEY over the private key -- a copy of :32 with the value changed and the constant not. Partially self-masking: the disjunction at CipherSpec.mop:71 still accepts, so there is no false positive, only the loss of the public/private distinction the CrySL predicates exist to make."
KeyStoreSpec.mop,KeyStore,ENSURES,generatedKeyStore,no,this,GENERATED_KEY_STORE,present,,,
KeyStoreSpec.mop,KeyStore,ENSURES,generatedKey,no,key,GENERATED_KEY,present,,,
KeyStoreSpec.mop,KeyStore,ENSURES,generatedPrivkey,no,key,GENERATED_PRIVATE_KEY,missing,translation-defect,4,
KeyStoreSpec.mop,KeyStore,ENSURES,generatedPubkey,no,key,GENERATED_PUBLIC_KEY,missing,translation-defect,4,
MacSpec.mop,Mac,REQUIRES,encrypted,yes,output1,ENCRYPTED,missing,translation-defect,4,
MacSpec.mop,Mac,REQUIRES,encrypted,yes,output2,ENCRYPTED,missing,translation-defect,4,
