apk,aperv:mop_off_llm_off__cov_method,aperv:mop_off_llm_off__cov_act,aperv:mop_off_llm_off__cov_mop,aperv:mop_off_llm_off__mop_unique,aperv:mop_off_llm_off__mop_total,aperv:mop_off_llm_off__crashes,aperv:mop_on_llm_70__cov_method,aperv:mop_on_llm_70__cov_act,aperv:mop_on_llm_70__cov_mop,aperv:mop_on_llm_70__mop_unique,aperv:mop_on_llm_70__mop_total,aperv:mop_on_llm_70__crashes,aperv:mop_on_llm_off__cov_method,aperv:mop_on_llm_off__cov_act,aperv:mop_on_llm_off__cov_mop,aperv:mop_on_llm_off__mop_unique,aperv:mop_on_llm_off__mop_total,aperv:mop_on_llm_off__crashes
at.linuxtage.Eventfahrplan_1700028.apk,49.1479,100.0,50.7092,7.0,61.6667,0.0,49.5891,100.0,51.4564,7.0,56.0,0.0,48.512,100.0,50.1773,7.0,78.3333,0.0
be.digitalia.fosdem_2300230.apk,61.488,81.4815,63.5317,5.0,40.0,0.0,60.7991,100.0,63.0556,5.0,28.3333,0.0,62.7441,100.0,65.1587,5.0,51.6667,0.0
ch.digitale_gesellschaft.winterkongress.schedule_118.apk,47.5338,100.0,48.2745,7.0,126.3333,0.0,45.8458,100.0,45.6693,7.0,66.3333,0.0,47.6155,100.0,48.187,7.0,115.3333,0.0
com.beemdevelopment.aegis_81.apk,29.8633,57.1429,24.9604,1.0,2.0,0.0,26.8584,92.8571,22.4231,1.6667,3.0,0.0,31.4588,92.8571,27.117,1.0,3.0,0.0
com.cointrend_10304.apk,58.5525,100.0,68.7557,7.0,120.6667,0.0,58.3987,100.0,68.7557,7.0,61.3333,0.0,57.8296,100.0,67.908,7.0,105.6667,0.0
com.darkrockstudios.app.securecamera_31.apk,10.8342,100.0,9.9005,4.0,51.6667,0.0,10.8402,100.0,9.9502,4.0,25.0,0.0,10.858,100.0,10.0,4.0,53.3333,0.0
com.darkrockstudios.apps.hammer.android_303020000.apk,43.8658,40.0,42.113,9.0,107.0,0.0,45.0869,100.0,43.2123,9.0,67.0,0.0,43.1307,100.0,41.396,9.0,97.3333,0.0
com.defname.localshare_14.apk,42.041,100.0,46.9963,1.0,14.3333,0.0,41.6391,100.0,46.8445,1.0,7.3333,0.0,42.8054,100.0,47.7554,1.0,16.0,0.0
com.dessalines.habitmaker_5501.apk,71.9433,100.0,78.3648,0.0,0.0,0.0,72.2111,100.0,80.6289,0.0,0.0,0.0,72.5234,100.0,79.2767,0.0,0.0,0.0
com.faltenreich.diaguard_68.apk,65.4954,100.0,79.4444,5.0,65.0,0.0,57.5941,100.0,74.4444,5.0,35.0,0.0,67.6459,100.0,86.1111,5.0,63.3333,0.0
com.flauschcode.broccoli_1040400.apk,65.7588,100.0,76.3636,0.0,0.0,0.0,64.9968,100.0,78.7879,0.0,0.0,0.0,67.6556,100.0,83.6364,0.0,0.0,0.0
com.hegocre.nextcloudpasswords_38.apk,5.6705,60.0,3.9599,10.0,256.6667,0.0,14.9627,100.0,14.0795,10.0,102.6667,0.0,17.936,100.0,17.7754,10.0,205.3333,0.0
com.kin.easynotes_14.apk,58.6848,50.0,60.7062,0.0,0.0,0.0,54.0637,50.0,55.2392,0.6667,0.6667,0.0,55.8733,50.0,57.65,0.0,0.0,0.0
com.manimarank.spell4wiki_21.apk,33.412,68.75,47.5177,5.0,50.0,0.0,32.4548,66.6667,58.8652,5.0,20.0,0.0,28.3504,66.6667,54.6099,5.0,18.3333,0.0
com.ominous.quickweather_112.apk,66.0124,100.0,57.1429,5.0,21.6667,0.0,68.8189,100.0,57.1429,5.0,23.3333,0.0,68.7156,88.8889,57.1429,5.0,26.6667,0.0
com.owncloud.android_48000100.apk,11.5865,52.7778,11.0227,5.0,25.0,0.0,12.5025,72.2222,12.6894,7.0,52.0,0.0,13.8022,91.6667,13.851,7.0,37.3333,0.0
com.rastislavkish.vscan_24.apk,53.9659,88.0952,53.9957,0.0,0.0,0.0,37.4234,83.3333,35.0612,0.0,0.0,0.0,57.5923,100.0,59.6112,0.0,0.0,0.0
com.smartpack.packagemanager_79.apk,44.9063,87.8788,59.6491,3.0,41.0,0.0,38.1011,100.0,55.2632,3.0,29.0,0.0,45.273,100.0,59.2105,3.0,35.0,0.0
com.starry.greenstash_440.apk,40.2086,50.0,38.5291,0.0,0.0,0.0,48.5644,100.0,47.9957,0.0,0.0,0.0,39.9149,100.0,38.7604,0.0,0.0,0.0
de.blau.android_3404.apk,34.2314,48.8889,26.417,8.6667,92.3333,0.0,28.9294,58.8889,21.7768,12.6667,121.0,0.0,32.5421,86.6667,24.141,12.0,141.6667,0.0
de.lukasneugebauer.nextcloudcookbook_62.apk,19.3861,100.0,18.9815,7.0,100.6667,0.0,14.0262,100.0,12.8889,7.0,47.6667,0.0,17.5064,100.0,16.5926,7.0,115.3333,0.0
de.saschahlusiak.freebloks_181.apk,52.8689,75.0,52.7096,0.0,0.0,0.0,53.0502,100.0,51.3824,0.0,0.0,0.0,56.39,100.0,56.2929,0.0,0.0,0.0
fr.gaulupeau.apps.InThePoche_234.apk,27.4471,55.5556,27.027,5.0,46.6667,0.0,26.7293,66.6667,27.027,5.0,33.3333,0.0,32.6155,81.4815,31.5315,5.0,51.6667,0.0
info.metadude.android.clt.schedule_117.apk,48.0321,100.0,48.7678,7.0,118.3333,0.0,44.4703,100.0,44.3124,7.0,82.6667,0.0,46.1329,100.0,46.4869,7.0,104.6667,0.0
info.metadude.android.datenspuren.schedule_110.apk,45.727,91.6667,45.7331,7.0,103.6667,0.0,45.8682,100.0,45.6654,7.0,55.0,0.0,48.318,100.0,48.9611,7.0,104.6667,0.0
