apk,arm,rep,timeout,lines,k4,k5,k7,mop_unique_tasks
app.eduroam.geteduroam_2685.apk,monkey,1,60,0,0,0,0,0
app.eduroam.geteduroam_2685.apk,monkey,3,60,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_greedy,1,60,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_greedy,1,180,14,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_greedy,1,300,133,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_greedy,2,60,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_greedy,2,180,70,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_greedy,2,300,161,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_greedy,3,60,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_greedy,3,180,14,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_greedy,3,300,161,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:bfs_greedy,1,60,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:bfs_greedy,1,180,70,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:bfs_greedy,1,300,140,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:bfs_greedy,2,60,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:bfs_greedy,2,180,70,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:bfs_greedy,2,300,21,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:bfs_greedy,3,60,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:bfs_greedy,3,180,14,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:bfs_greedy,3,300,154,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_naive,1,60,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_naive,1,180,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_naive,1,300,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_naive,2,60,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_naive,2,180,7,2,7,7,7.0
app.eduroam.geteduroam_2685.apk,droidbot:dfs_naive,2,300,7,2,7,7,7.0
