apk,cls,method,sig,event,target_invoke,invoke_off,branch_srcs,direction,app_code,ev
app.pachli_50.apk,org.conscrypt.CryptoUpcalls,signDigestWithPrivateKey,(Ljava/security/PrivateKey;[BLjava/lang/String;)[B,SignatureSpec_updateEvent,Ljava/security/Signature;.update:([B)V,008c,0029|006b,forward,0,['SignatureSpec_updateEvent']
app.pachli_50.apk,org.conscrypt.OpenSSLX509CRL,verifyInternal,(Ljava/security/PublicKey;Ljava/lang/String;)V,SignatureSpec_i4Event,Ljava/security/Signature;.initVerify:(Ljava/security/PublicKey;)V,001d,0015,forward,0,['SignatureSpec_i4Event']
app.pachli_50.apk,org.conscrypt.OpenSSLX509Certificate,verifyInternal,(Ljava/security/PublicKey;Ljava/lang/String;)V,SignatureSpec_i4Event,Ljava/security/Signature;.initVerify:(Ljava/security/PublicKey;)V,001b,000f,forward,0,['SignatureSpec_i4Event']
app.pachli_50.apk,org.conscrypt.OpenSSLX509Certificate,verify,(Ljava/security/PublicKey;Ljava/security/Provider;)V,SignatureSpec_i4Event,Ljava/security/Signature;.initVerify:(Ljava/security/PublicKey;)V,002e,0022,forward,0,['SignatureSpec_i4Event']
app.pwhs.universalinstaller_24.apk,com.android.apksig.JcaSignerEngine,sign,([B)[B,SignatureSpec_updateEvent,Ljava/security/Signature;.update:([B)V,001f,0015,forward,0,['SignatureSpec_updateEvent']
app.pwhs.universalinstaller_24.apk,com.android.apksig.internal.apk.ApkSigningBlockUtils,generateSignaturesOverData,(Lcom/android/apksig/internal/apk/ApkSigningBlockUtils$SignerConfig;[B)Ljava/util/List;,SignatureSpec_updateEvent,Ljava/security/Signature;.update:([B)V,0063,005b,forward,0,['SignatureSpec_updateEvent']
app.pwhs.universalinstaller_24.apk,com.android.apksig.internal.apk.stamp.SourceStampCertificateLineage,readSigningCertificateLineage,(Ljava/nio/ByteBuffer;)Ljava/util/List;,SignatureSpec_updateEvent,Ljava/security/Signature;.update:(Ljava/nio/ByteBuffer;)V,008b,0083,forward,0,['SignatureSpec_updateEvent']
app.pwhs.universalinstaller_24.apk,com.android.apksig.internal.apk.v3.V3SigningCertificateLineage,readSigningCertificateLineage,(Ljava/nio/ByteBuffer;)Ljava/util/List;,SignatureSpec_updateEvent,Ljava/security/Signature;.update:(Ljava/nio/ByteBuffer;)V,0082,007a,forward,0,['SignatureSpec_updateEvent']
ch.rmy.android.http_shortcuts_1104060001.apk,org.conscrypt.CryptoUpcalls,signDigestWithPrivateKey,(Ljava/security/PrivateKey;[BLjava/lang/String;)[B,SignatureSpec_updateEvent,Ljava/security/Signature;.update:([B)V,008c,0029|006b,forward,0,['SignatureSpec_updateEvent']
ch.rmy.android.http_shortcuts_1104060001.apk,org.conscrypt.OpenSSLX509CRL,verifyInternal,(Ljava/security/PublicKey;Ljava/lang/String;)V,SignatureSpec_i4Event,Ljava/security/Signature;.initVerify:(Ljava/security/PublicKey;)V,001d,0015,forward,0,['SignatureSpec_i4Event']
