lib,cls,method,spec,code,event,sources,apks,lines,runs_nobs_only,exp,apk_list
bouncycastle,org.bouncycastle.operator.jcajce.JcaContentVerifierProviderBuilder,createRawSig,SignatureSpec,SIGNATURE-NOBS-02,i4,Unknown Source:13,1,1,0,a public key produced by one of the generators the rule names,systems.sieber.droid_scep_7.apk
bouncycastle,org.bouncycastle.operator.jcajce.JcaContentVerifierProviderBuilder$1,get,SignatureSpec,SIGNATURE-NOBS-02,i4,Unknown Source:46,1,1,1,a public key produced by one of the generators the rule names,systems.sieber.droid_scep_7.apk
ktor,io.ktor.network.tls.HashesKt,P_hash,MacSpec,MAC-NOBS-00,i1,Hashes.kt:23;Hashes.kt:24;Hashes.kt:26;Hashes.kt:28;Hashes.kt:29;Hashes.kt:31,4,456,0,"a key observed coming from a key generator, a key store or a key specification",com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.KeysKt,clientKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-01,c2,Keys.kt:37,4,228,184,prepared key material,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.KeysKt,masterSecret,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,Keys.kt:69,4,228,184,prepared key material,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.KeysKt,serverKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-01,c2,Keys.kt:30,4,225,183,prepared key material,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.TLSClientHandshake,generatePreSecret,KeyAgreementSpec,KEYAGREEMENT-NOBS-08,dophase,TLSClientHandshake.kt:338;TLSClientHandshake.kt:362;TLSClientHandshake.kt:363,4,228,184,a public key this instrumentation observed being generated,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.TLSClientHandshake,handleServerDone,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,c1,TLSClientHandshake.kt:316;TLSClientHandshake.kt:339;TLSClientHandshake.kt:340,4,228,184,prepared key material,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.TLSClientHandshakeKt,generateECKeys,KeyFactorySpec,KEYFACTORY-NOBS-01,genPublic,TLSClientHandshake.kt:496;TLSClientHandshake.kt:522;TLSClientHandshake.kt:523,4,228,184,a key spec this instrumentation observed being built from key material,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.TLSConfigBuilderKt,findTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,init,TLSConfigBuilder.kt:153;TLSConfigBuilder.kt:159,4,227,0,a KeyStore this instrumentation observed being loaded,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmDecryptCipher,CipherSpec,CIPHER-NOBS-00,i2,GCMCipher.kt:107,4,225,183,a key produced by one of the generators the rule names,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmDecryptCipher,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,c1,GCMCipher.kt:105,4,225,183,a randomized byte[],com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmDecryptCipher,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,GCMCipher.kt:107,4,225,183,a GCMParameterSpec built over an observed randomized source,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmEncryptCipher,CipherSpec,CIPHER-NOBS-00,i2,GCMCipher.kt:74,4,228,184,a key produced by one of the generators the rule names,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmEncryptCipher,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,c1,GCMCipher.kt:73,4,228,184,a randomized byte[],com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmEncryptCipher,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,use,GCMCipher.kt:74,4,228,184,a GCMParameterSpec built over an observed randomized source,com.mateusrodcosta.apps.vidyamusic_2200.apk;com.sapuseven.untis_29198884.apk;com.serwylo.beatgame_35.apk;com.serwylo.retrowars_70.apk
ktor,io.ktor.util.NonceKt$nonceGeneratorJob$1,invokeSuspend,SecureRandomSpec,SECURERANDOM-NOBS-00,setSeed2,Nonce.kt:43;Nonce.kt:63;Nonce.kt:66,1,9,0,a randomized byte[],com.serwylo.retrowars_70.apk
okhttp,okhttp3.OkHttpClient,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-00,init,OkHttpClient.java:264,2,323,197,a KeyManager[] an observed KeyManagerFactory returned,com.cointrend_10304.apk;com.faltenreich.diaguard_68.apk
okhttp,okhttp3.OkHttpClient,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-01,init,OkHttpClient.java:264,2,323,197,a TrustManager[] an observed TrustManagerFactory returned,com.cointrend_10304.apk;com.faltenreich.diaguard_68.apk
okhttp,okhttp3.OkHttpClient,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-02,init,OkHttpClient.java:264,2,323,197,a SecureRandom this instrumentation observed being created,com.cointrend_10304.apk;com.faltenreich.diaguard_68.apk
