apk,manifest_package,playstore_url,version_code,version_name,main_activity,apk_size_mb,dex_count,min_sdk,target_sdk,compile_sdk,native_code_abis,n_splits,apk_type,framework
br.com.anatel.consumidor_3.0.3.apk,br.com.anatel.consumidor,https://play.google.com/store/apps/details?id=br.com.anatel.consumidor,152,3.0.3,br.com.anatel.consumidor.MainActivity,14.8,2,28,36,36,none,6,remerged_bundle,cordova
br.com.consumidor_1.0.51.apk,br.com.consumidor,https://play.google.com/store/apps/details?id=br.com.consumidor,78,1.0.51,br.com.consumidor.MainActivity,30.9,2,24,36,36,none,6,remerged_bundle,react-native
br.com.valid.rnm_4.26.1.apk,br.com.valid.rnm,https://play.google.com/store/apps/details?id=br.com.valid.rnm,6915,4.26.1,com.example.digital_credential.MainActivity,107.5,8,24,36,36,none,4,remerged_bundle,flutter
br.gov.anac.superapp_2.9.4.apk,br.gov.anac.superapp,https://play.google.com/store/apps/details?id=br.gov.anac.superapp,3905208,2.9.4,br.gov.anac.superapp.MainActivity,59.4,2,24,36,36,none,6,remerged_bundle,flutter
br.gov.bcb.mobile.android.calculadoracidadao_3.4.2.apk,br.gov.bcb.mobile.android.calculadoracidadao,https://play.google.com/store/apps/details?id=br.gov.bcb.mobile.android.calculadoracidadao,41,3.4.2,,16.1,1,19,34,34,none,6,remerged_bundle,native
br.gov.conab.acesseleiloes_1.2.0.apk,br.gov.conab.acesseleiloes,https://play.google.com/store/apps/details?id=br.gov.conab.acesseleiloes,7,1.2.0,br.gov.conab.acesseleiloes.MainActivity,23.7,1,21,35,35,none,6,remerged_bundle,flutter
br.gov.cultura.telabrasil_1.0.18.apk,br.gov.cultura.telabrasil,https://play.google.com/store/apps/details?id=br.gov.cultura.telabrasil,18,1.0.18,br.gov.cultura.telabrasil.MainActivity,68.3,5,24,36,36,none,4,remerged_bundle,react-native
br.gov.dataprev.meucadunico_1.36.03.apk,br.gov.dataprev.meucadunico,https://play.google.com/store/apps/details?id=br.gov.dataprev.meucadunico,13600003,1.36.03,br.gov.dataprev.meucadunico.MainActivity,19.3,3,23,35,35,none,5,remerged_bundle,cordova
br.gov.dataprev.meuimovelrural_3.0.7.apk,br.gov.dataprev.meuimovelrural,https://play.google.com/store/apps/details?id=br.gov.dataprev.meuimovelrural,154,3.0.7,br.gov.dataprev.meuimovelrural.MainActivity,56.4,6,24,36,36,none,4,remerged_bundle,react-native
br.gov.dataprev.meuinss_5.40.00.apk,br.gov.dataprev.meuinss,https://play.google.com/store/apps/details?id=br.gov.dataprev.meuinss,5400000,5.40.00,br.gov.dataprev.meuinss.MainActivity,17.5,2,23,35,35,none,1,single_apk,cordova
br.gov.datasus.cnsdigital_73.30.00.apk,br.gov.datasus.cnsdigital,https://play.google.com/store/apps/details?id=br.gov.datasus.cnsdigital,733000,73.30.00,br.gov.datasus.cnsdigital.MainActivity,88.4,2,22,35,34,none,1,single_apk,capacitor
br.gov.fazenda.receita.eprocesso_9.1.1.apk,br.gov.fazenda.receita.eprocesso,https://play.google.com/store/apps/details?id=br.gov.fazenda.receita.eprocesso,9010100,9.1.1,,8.9,2,19,35,35,none,5,remerged_bundle,native
br.gov.fazenda.receita.mei_4.7.0.apk,br.gov.fazenda.receita.mei,https://play.google.com/store/apps/details?id=br.gov.fazenda.receita.mei,4070001,4.7.0,,32.3,4,26,35,35,none,4,remerged_bundle,native
br.gov.ibge_4.5.0.apk,br.gov.ibge,https://play.google.com/store/apps/details?id=br.gov.ibge,4500002,4.5.0,br.gov.ibge.MainActivity,12.1,1,24,35,35,none,5,remerged_bundle,cordova
br.gov.mds.meusocial_1.2.0.apk,br.gov.mds.meusocial,https://play.google.com/store/apps/details?id=br.gov.mds.meusocial,66,1.2.0,br.gov.mds.meusocial.MainActivity,51.8,6,24,36,36,none,4,remerged_bundle,react-native
br.gov.mec.idiomas_1.0.9.apk,br.gov.mec.idiomas,https://play.google.com/store/apps/details?id=br.gov.mec.idiomas,39,1.0.9,br.gov.mec.idiomas.MainActivity,54.8,4,24,36,36,none,4,remerged_bundle,react-native
br.gov.mec.jornada.estudante_4.8.2.apk,br.gov.mec.jornada.estudante,https://play.google.com/store/apps/details?id=br.gov.mec.jornada.estudante,78,4.8.2,br.gov.mec.jornada.estudante.MainActivity,60.3,1,29,36,36,none,6,remerged_bundle,flutter
br.gov.mec.meclivros_1.0.8.apk,br.gov.mec.meclivros,https://play.google.com/store/apps/details?id=br.gov.mec.meclivros,110,1.0.8,br.gov.mec.meclivros.MainActivity,5.4,1,26,36,36,none,4,remerged_bundle,native
br.gov.memp.portaldoempreendedor_1.0.1.apk,br.gov.memp.portaldoempreendedor,https://play.google.com/store/apps/details?id=br.gov.memp.portaldoempreendedor,5,1.0.1,br.gov.memp.portaldoempreendedor.MainActivity,50.8,1,26,36,36,none,6,remerged_bundle,flutter
br.gov.nfsemobileemissor_1.0.246.apk,br.gov.nfsemobileemissor,https://play.google.com/store/apps/details?id=br.gov.nfsemobileemissor,10,1.0.246,br.gov.nfsemobileemissor.MainActivity,28.2,2,23,36,36,none,6,remerged_bundle,flutter
br.gov.saude.acs_5.1.4.apk,br.gov.saude.acs,https://play.google.com/store/apps/details?id=br.gov.saude.acs,50104132,5.1.4,br.gov.saude.acs.view.impl.RootViewImpl,38.7,6,21,35,35,none,3,remerged_bundle,native
br.gov.saude.esusaps.vacinacao_3.3.8.apk,br.gov.saude.esusaps.vacinacao,https://play.google.com/store/apps/details?id=br.gov.saude.esusaps.vacinacao,75,3.3.8,io.flutter.embedding.android.FlutterActivity,27.7,2,21,35,35,none,6,remerged_bundle,flutter
br.gov.serpro.denatran.fiscalizacaodenatran_2.4.6.apk,br.gov.serpro.denatran.fiscalizacaodenatran,https://play.google.com/store/apps/details?id=br.gov.serpro.denatran.fiscalizacaodenatran,3421727,2.4.6,br.gov.serpro.denatran.fiscalizacaodenatran.MainActivity,32.9,1,24,36,36,none,6,remerged_bundle,flutter
br.gov.serpro.sougov_5.581.apk,br.gov.serpro.sougov,https://play.google.com/store/apps/details?id=br.gov.serpro.sougov,146,5.581,br.gov.serpro.sougov.MainActivity,54.1,2,28,36,36,arm64-v8a|armeabi-v7a|x86|x86_64,1,single_apk,cordova
br.gov.sinesp.cidadao.android_138.apk,br.gov.sinesp.cidadao.android,https://play.google.com/store/apps/details?id=br.gov.sinesp.cidadao.android,138,,br.gov.sinesp.cidadao.android.MainActivity,53.3,1,24,35,35,arm64-v8a|armeabi-v7a|x86|x86_64,1,single_apk,react-native
com.antt.appcidadao_1.0.18.apk,com.antt.appcidadao,https://play.google.com/store/apps/details?id=com.antt.appcidadao,18,1.0.18,com.antt.appcidadao.MainActivity,30.6,3,21,33,33,none,6,remerged_bundle,react-native
com.app.foraareabrasileira_2.2.apk,com.app.foraareabrasileira,https://play.google.com/store/apps/details?id=com.app.foraareabrasileira,22,2.2,,19.2,9,24,34,34,none,6,remerged_bundle,native
com.celularlegal_2.2.8.apk,com.celularlegal,https://play.google.com/store/apps/details?id=com.celularlegal,91,2.2.8,com.celularlegal.MainActivity,35.9,4,24,35,35,none,4,remerged_bundle,react-native
com.datasus.MedSUSAPP_3.1.0.apk,com.datasus.MedSUSAPP,https://play.google.com/store/apps/details?id=com.datasus.MedSUSAPP,30100,3.1.0,com.datasus.MedSUSAPP.MainActivity,26.0,1,22,33,33,arm64-v8a|armeabi-v7a|x86|x86_64,1,single_apk,capacitor
com.identidadenacional_1.0.5.apk,com.identidadenacional,https://play.google.com/store/apps/details?id=com.identidadenacional,32,1.0.5,com.identidadenacional.MainActivity,39.9,3,24,34,34,none,4,remerged_bundle,react-native
com.idjovem2_4.3.2.apk,com.idjovem2,https://play.google.com/store/apps/details?id=com.idjovem2,20050,4.3.2,com.idjovem2.MainActivity,50.5,3,24,35,35,none,4,remerged_bundle,react-native
com.mecenem.app_1.0.5.apk,com.mecenem.app,https://play.google.com/store/apps/details?id=com.mecenem.app,16,1.0.5,com.mecenem.app.MainActivity,74.7,5,24,35,35,none,4,remerged_bundle,react-native
eSocial.Android_5.0.0.apk,eSocial.Android,https://play.google.com/store/apps/details?id=eSocial.Android,3927643,5.0.0,com.serpro.esocial_app.MainActivity,27.0,3,24,36,36,none,6,remerged_bundle,flutter
