spec,code,error_type,site_kind,event,file_line,label
SecretKeySpecSpec,SECRETKEYSPEC-ALG-00,UnsafeAlgorithm,ALG,c1,SecretKeySpecSpec.mop:124,violation
SecretKeySpecSpec,SECRETKEYSPEC-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,SecretKeySpecSpec.mop:131,violation
SecretKeySpecSpec,SECRETKEYSPEC-NOBS-02,UnsatisfiedConstraint,NOBS,c1,SecretKeySpecSpec.mop:137,upstream-refused
SecretKeySpecSpec,SECRETKEYSPEC-NOBS-03,UnsatisfiedConstraint,NOBS,c1,SecretKeySpecSpec.mop:143,random-key-material
SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,UnsatisfiedConstraint,NOBS,c1,SecretKeySpecSpec.mop:149,not-observed
SecretKeySpecSpec,SECRETKEYSPEC-ALG-01,UnsafeAlgorithm,ALG,c2,SecretKeySpecSpec.mop:208,violation
SecretKeySpecSpec,SECRETKEYSPEC-CONSTR-01,UnsatisfiedConstraint,CONSTR,c2,SecretKeySpecSpec.mop:214,violation
SecretKeySpecSpec,SECRETKEYSPEC-CONSTR-02,UnsatisfiedConstraint,CONSTR,c2,SecretKeySpecSpec.mop:221,violation
SecretKeySpecSpec,SECRETKEYSPEC-NOBS-04,UnsatisfiedConstraint,NOBS,c2,SecretKeySpecSpec.mop:227,upstream-refused
SecretKeySpecSpec,SECRETKEYSPEC-NOBS-05,UnsatisfiedConstraint,NOBS,c2,SecretKeySpecSpec.mop:233,random-key-material
SecretKeySpecSpec,SECRETKEYSPEC-NOBS-01,UnsatisfiedConstraint,NOBS,c2,SecretKeySpecSpec.mop:239,not-observed
SecretKeySpecSpec,SECRETKEYSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,SecretKeySpecSpec.mop:266,creation-unobserved
SecretKeySpecSpec,SECRETKEYSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,SecretKeySpecSpec.mop:270,sequence
X509EncodedKeySpecSpec,X509ENCODEDKEYSPEC-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,X509EncodedKeySpecSpec.mop:56,violation
X509EncodedKeySpecSpec,X509ENCODEDKEYSPEC-NOBS-01,UnsatisfiedConstraint,NOBS,c1,X509EncodedKeySpecSpec.mop:61,upstream-refused
X509EncodedKeySpecSpec,X509ENCODEDKEYSPEC-NOBS-00,UnsatisfiedConstraint,NOBS,c1,X509EncodedKeySpecSpec.mop:66,not-observed
X509EncodedKeySpecSpec,X509ENCODEDKEYSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,X509EncodedKeySpecSpec.mop:86,creation-unobserved
X509EncodedKeySpecSpec,X509ENCODEDKEYSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,X509EncodedKeySpecSpec.mop:90,sequence
KeyFactorySpec,KEYFACTORY-ALG-00,UnsafeAlgorithm,ALG,get,KeyFactorySpec.mop:62,violation
KeyFactorySpec,KEYFACTORY-CONSTR-00,UnsatisfiedConstraint,CONSTR,genPrivate,KeyFactorySpec.mop:93,violation
KeyFactorySpec,KEYFACTORY-NOBS-02,UnsatisfiedConstraint,NOBS,genPrivate,KeyFactorySpec.mop:99,upstream-refused
KeyFactorySpec,KEYFACTORY-NOBS-00,UnsatisfiedConstraint,NOBS,genPrivate,KeyFactorySpec.mop:105,not-observed
KeyFactorySpec,KEYFACTORY-CONSTR-01,UnsatisfiedConstraint,CONSTR,genPublic,KeyFactorySpec.mop:131,violation
KeyFactorySpec,KEYFACTORY-NOBS-03,UnsatisfiedConstraint,NOBS,genPublic,KeyFactorySpec.mop:137,upstream-refused
KeyFactorySpec,KEYFACTORY-NOBS-01,UnsatisfiedConstraint,NOBS,genPublic,KeyFactorySpec.mop:143,not-observed
KeyFactorySpec,KEYFACTORY-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyFactorySpec.mop:162,creation-unobserved
KeyFactorySpec,KEYFACTORY-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyFactorySpec.mop:166,sequence
SecretKeyFactorySpec,SECRETKEYFACTORY-ALG-00,UnsafeAlgorithm,ALG,get,SecretKeyFactorySpec.mop:71,violation
SecretKeyFactorySpec,SECRETKEYFACTORY-CONSTR-00,UnsatisfiedConstraint,CONSTR,gen,SecretKeyFactorySpec.mop:112,violation
SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-01,UnsatisfiedConstraint,NOBS,gen,SecretKeyFactorySpec.mop:118,upstream-refused
SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-00,UnsatisfiedConstraint,NOBS,gen,SecretKeyFactorySpec.mop:124,not-observed
SecretKeyFactorySpec,SECRETKEYFACTORY-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,SecretKeyFactorySpec.mop:155,creation-unobserved
SecretKeyFactorySpec,SECRETKEYFACTORY-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,SecretKeyFactorySpec.mop:159,sequence
KeyAgreementSpec,KEYAGREEMENT-ALG-00,UnsafeAlgorithm,ALG,get,KeyAgreementSpec.mop:91,violation
KeyAgreementSpec,KEYAGREEMENT-CONSTR-00,UnsatisfiedConstraint,CONSTR,init1,KeyAgreementSpec.mop:117,violation
KeyAgreementSpec,KEYAGREEMENT-NOBS-00,UnsatisfiedConstraint,NOBS,init1,KeyAgreementSpec.mop:122,not-observed
KeyAgreementSpec,KEYAGREEMENT-CONSTR-01,UnsatisfiedConstraint,CONSTR,init2,KeyAgreementSpec.mop:147,violation
KeyAgreementSpec,KEYAGREEMENT-NOBS-01,UnsatisfiedConstraint,NOBS,init2,KeyAgreementSpec.mop:152,not-observed
KeyAgreementSpec,KEYAGREEMENT-CONSTR-02,UnsatisfiedConstraint,CONSTR,init2,KeyAgreementSpec.mop:167,violation
KeyAgreementSpec,KEYAGREEMENT-NOBS-02,UnsatisfiedConstraint,NOBS,init2,KeyAgreementSpec.mop:172,not-observed
KeyAgreementSpec,KEYAGREEMENT-CONSTR-03,UnsatisfiedConstraint,CONSTR,init3,KeyAgreementSpec.mop:186,violation
KeyAgreementSpec,KEYAGREEMENT-NOBS-03,UnsatisfiedConstraint,NOBS,init3,KeyAgreementSpec.mop:191,not-observed
KeyAgreementSpec,KEYAGREEMENT-CONSTR-04,UnsatisfiedConstraint,CONSTR,init3,KeyAgreementSpec.mop:206,violation
KeyAgreementSpec,KEYAGREEMENT-NOBS-04,UnsatisfiedConstraint,NOBS,init3,KeyAgreementSpec.mop:211,not-observed
KeyAgreementSpec,KEYAGREEMENT-CONSTR-05,UnsatisfiedConstraint,CONSTR,init3,KeyAgreementSpec.mop:217,violation
KeyAgreementSpec,KEYAGREEMENT-NOBS-05,UnsatisfiedConstraint,NOBS,init3,KeyAgreementSpec.mop:222,not-observed
KeyAgreementSpec,KEYAGREEMENT-CONSTR-06,UnsatisfiedConstraint,CONSTR,init4,KeyAgreementSpec.mop:236,violation
KeyAgreementSpec,KEYAGREEMENT-NOBS-06,UnsatisfiedConstraint,NOBS,init4,KeyAgreementSpec.mop:241,not-observed
KeyAgreementSpec,KEYAGREEMENT-CONSTR-07,UnsatisfiedConstraint,CONSTR,init4,KeyAgreementSpec.mop:247,violation
KeyAgreementSpec,KEYAGREEMENT-NOBS-07,UnsatisfiedConstraint,NOBS,init4,KeyAgreementSpec.mop:252,not-observed
KeyAgreementSpec,KEYAGREEMENT-CONSTR-08,UnsatisfiedConstraint,CONSTR,dophase,KeyAgreementSpec.mop:274,violation
KeyAgreementSpec,KEYAGREEMENT-NOBS-09,UnsatisfiedConstraint,NOBS,dophase,KeyAgreementSpec.mop:279,upstream-refused
KeyAgreementSpec,KEYAGREEMENT-NOBS-08,UnsatisfiedConstraint,NOBS,dophase,KeyAgreementSpec.mop:284,not-observed
KeyAgreementSpec,KEYAGREEMENT-FORB-00,ForbiddenMethod,FORB,gs3,KeyAgreementSpec.mop:366,violation
KeyAgreementSpec,KEYAGREEMENT-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyAgreementSpec.mop:408,creation-unobserved
KeyAgreementSpec,KEYAGREEMENT-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyAgreementSpec.mop:412,sequence
KeyGeneratorSpec,KEYGENERATOR-CONSTR-00,UnsatisfiedConstraint,CONSTR,initRandom,KeyGeneratorSpec.mop:131,violation
KeyGeneratorSpec,KEYGENERATOR-NOBS-00,UnsatisfiedConstraint,NOBS,initRandom,KeyGeneratorSpec.mop:135,not-observed
KeyGeneratorSpec,KEYGENERATOR-CONSTR-01,UnsatisfiedConstraint,CONSTR,initRandomSize,KeyGeneratorSpec.mop:147,violation
KeyGeneratorSpec,KEYGENERATOR-NOBS-01,UnsatisfiedConstraint,NOBS,initRandomSize,KeyGeneratorSpec.mop:151,not-observed
KeyGeneratorSpec,KEYGENERATOR-CONSTR-02,UnsatisfiedConstraint,CONSTR,initRandomSpec,KeyGeneratorSpec.mop:163,violation
KeyGeneratorSpec,KEYGENERATOR-NOBS-02,UnsatisfiedConstraint,NOBS,initRandomSpec,KeyGeneratorSpec.mop:167,not-observed
KeyGeneratorSpec,KEYGENERATOR-ALG-00,UnsafeAlgorithm,ALG,gk1,KeyGeneratorSpec.mop:176,violation
KeyGeneratorSpec,KEYGENERATOR-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyGeneratorSpec.mop:187,creation-unobserved
KeyGeneratorSpec,KEYGENERATOR-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyGeneratorSpec.mop:191,sequence
SignatureSpec,SIGNATURE-ALG-00,UnsafeAlgorithm,ALG,i1,SignatureSpec.mop:147,violation
SignatureSpec,SIGNATURE-CONSTR-00,UnsatisfiedConstraint,CONSTR,i1,SignatureSpec.mop:152,violation
SignatureSpec,SIGNATURE-NOBS-00,UnsatisfiedConstraint,NOBS,i1,SignatureSpec.mop:156,not-observed
SignatureSpec,SIGNATURE-ALG-01,UnsafeAlgorithm,ALG,i2,SignatureSpec.mop:166,violation
SignatureSpec,SIGNATURE-CONSTR-01,UnsatisfiedConstraint,CONSTR,i2,SignatureSpec.mop:171,violation
SignatureSpec,SIGNATURE-NOBS-01,UnsatisfiedConstraint,NOBS,i2,SignatureSpec.mop:175,not-observed
SignatureSpec,SIGNATURE-ALG-02,UnsafeAlgorithm,ALG,i3,SignatureSpec.mop:185,violation
SignatureSpec,SIGNATURE-ALG-03,UnsafeAlgorithm,ALG,i4,SignatureSpec.mop:197,violation
SignatureSpec,SIGNATURE-CONSTR-02,UnsatisfiedConstraint,CONSTR,i4,SignatureSpec.mop:202,violation
SignatureSpec,SIGNATURE-NOBS-03,UnsatisfiedConstraint,NOBS,i4,SignatureSpec.mop:206,upstream-refused
SignatureSpec,SIGNATURE-NOBS-02,UnsatisfiedConstraint,NOBS,i4,SignatureSpec.mop:210,not-observed
SignatureSpec,SIGNATURE-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,SignatureSpec.mop:297,creation-unobserved
SignatureSpec,SIGNATURE-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,SignatureSpec.mop:301,sequence
