spec,code,error_type,site_kind,event,file_line,label
TrustManagerFactorySpec,TRUSTMANAGERFACTORY-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,TrustManagerFactorySpec.mop:297,creation-refused
SignatureSpec,SIGNATURE-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,SignatureSpec.mop:326,creation-refused
SecureRandomSpec,SECURERANDOM-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,SecureRandomSpec.mop:397,creation-refused
KeyPairGeneratorSpec,KEYPAIRGENERATOR-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyPairGeneratorSpec.mop:390,creation-refused
PBEKeySpecSpec,PBEKEYSPEC-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,PBEKeySpecSpec.mop:235,creation-refused
SSLContextSpec,SSLCONTEXT-ORDER-02,InvalidSequenceOfMethodCalls,ORDER,@fail,SSLContextSpec.mop:386,creation-refused
KeyPairGeneratorSpec,KEYPAIRGENERATOR-ALG-00,UnsafeAlgorithm,ALG,g3,KeyPairGeneratorSpec.mop:161,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-ALG-01,UnsafeAlgorithm,ALG,g4,KeyPairGeneratorSpec.mop:198,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-CONSTR-00,UnsatisfiedConstraint,CONSTR,init3,KeyPairGeneratorSpec.mop:281,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-CONSTR-01,UnsatisfiedConstraint,CONSTR,init4,KeyPairGeneratorSpec.mop:316,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-KEYSIZE-00,InvalidKeySize,KEYSIZE,initError,KeyPairGeneratorSpec.mop:330,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-KEYSIZE-01,InvalidKeySize,KEYSIZE,initError2,KeyPairGeneratorSpec.mop:351,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-NOBS-00,UnsatisfiedConstraint,NOBS,init3,KeyPairGeneratorSpec.mop:285,not-observed
KeyPairGeneratorSpec,KEYPAIRGENERATOR-NOBS-01,UnsatisfiedConstraint,NOBS,init4,KeyPairGeneratorSpec.mop:320,not-observed
KeyPairGeneratorSpec,KEYPAIRGENERATOR-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyPairGeneratorSpec.mop:394,sequence
KeyPairGeneratorSpec,KEYPAIRGENERATOR-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyPairGeneratorSpec.mop:386,creation-unobserved
PBEKeySpecSpec,PBEKEYSPEC-FORB-00,ForbiddenMethod,FORB,f1,PBEKeySpecSpec.mop:65,violation
PBEKeySpecSpec,PBEKEYSPEC-FORB-01,ForbiddenMethod,FORB,f2,PBEKeySpecSpec.mop:74,violation
PBEKeySpecSpec,PBEKEYSPEC-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,PBEKeySpecSpec.mop:144,violation
PBEKeySpecSpec,PBEKEYSPEC-CONSTR-02,UnsatisfiedConstraint,CONSTR,c1,PBEKeySpecSpec.mop:172,violation
PBEKeySpecSpec,PBEKEYSPEC-NOBS-01,UnsatisfiedConstraint,NOBS,c1,PBEKeySpecSpec.mop:177,not-observed
PBEKeySpecSpec,PBEKEYSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,PBEKeySpecSpec.mop:239,sequence
PBEKeySpecSpec,PBEKEYSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,PBEKeySpecSpec.mop:231,creation-unobserved
SSLContextSpec,SSLCONTEXT-FORB-00,ForbiddenMethod,FORB,getDefault,SSLContextSpec.mop:148,violation
SSLContextSpec,SSLCONTEXT-PROTO-00,UnsafeProtocol,PROTO,init,SSLContextSpec.mop:254,violation
SSLContextSpec,SSLCONTEXT-CONSTR-00,UnsatisfiedConstraint,CONSTR,init,SSLContextSpec.mop:259,violation
SSLContextSpec,SSLCONTEXT-NOBS-00,UnsatisfiedConstraint,NOBS,init,SSLContextSpec.mop:267,not-observed
SSLContextSpec,SSLCONTEXT-CONSTR-01,UnsatisfiedConstraint,CONSTR,init,SSLContextSpec.mop:283,violation
SSLContextSpec,SSLCONTEXT-NOBS-01,UnsatisfiedConstraint,NOBS,init,SSLContextSpec.mop:295,not-observed
SSLContextSpec,SSLCONTEXT-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,SSLContextSpec.mop:390,sequence
SSLContextSpec,SSLCONTEXT-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,SSLContextSpec.mop:382,creation-unobserved
SSLContextSpec,SSLCONTEXT-CONSTR-02,UnsatisfiedConstraint,CONSTR,init,SSLContextSpec.mop:300,violation
SSLContextSpec,SSLCONTEXT-NOBS-02,UnsatisfiedConstraint,NOBS,init,SSLContextSpec.mop:308,not-observed
SSLContextSpec,SSLCONTEXT-NOBS-03,UnsatisfiedConstraint,NOBS,init,SSLContextSpec.mop:263,platform-default
SSLContextSpec,SSLCONTEXT-NOBS-04,UnsatisfiedConstraint,NOBS,init,SSLContextSpec.mop:287,platform-default
SSLContextSpec,SSLCONTEXT-NOBS-05,UnsatisfiedConstraint,NOBS,init,SSLContextSpec.mop:291,application-manager
SSLContextSpec,SSLCONTEXT-NOBS-06,UnsatisfiedConstraint,NOBS,init,SSLContextSpec.mop:304,platform-default
SecureRandomSpec,SECURERANDOM-CONSTR-01,UnsatisfiedConstraint,CONSTR,c2,SecureRandomSpec.mop:115,violation
SecureRandomSpec,SECURERANDOM-NOBS-01,UnsatisfiedConstraint,NOBS,c2,SecureRandomSpec.mop:119,not-observed
SecureRandomSpec,SECURERANDOM-ALG-00,UnsafeAlgorithm,ALG,g4,SecureRandomSpec.mop:169,violation
SecureRandomSpec,SECURERANDOM-ALG-01,UnsafeAlgorithm,ALG,g5,SecureRandomSpec.mop:188,violation
SecureRandomSpec,SECURERANDOM-CONSTR-00,UnsatisfiedConstraint,CONSTR,setSeed2,SecureRandomSpec.mop:253,violation
SecureRandomSpec,SECURERANDOM-NOBS-00,UnsatisfiedConstraint,NOBS,setSeed2,SecureRandomSpec.mop:257,not-observed
SecureRandomSpec,SECURERANDOM-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,SecureRandomSpec.mop:401,sequence
SecureRandomSpec,SECURERANDOM-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,SecureRandomSpec.mop:393,creation-unobserved
SignatureSpec,SIGNATURE-ALG-00,UnsafeAlgorithm,ALG,i1,SignatureSpec.mop:172,violation
SignatureSpec,SIGNATURE-CONSTR-00,UnsatisfiedConstraint,CONSTR,i1,SignatureSpec.mop:177,violation
SignatureSpec,SIGNATURE-NOBS-00,UnsatisfiedConstraint,NOBS,i1,SignatureSpec.mop:181,not-observed
SignatureSpec,SIGNATURE-ALG-01,UnsafeAlgorithm,ALG,i2,SignatureSpec.mop:191,violation
SignatureSpec,SIGNATURE-CONSTR-01,UnsatisfiedConstraint,CONSTR,i2,SignatureSpec.mop:196,violation
SignatureSpec,SIGNATURE-NOBS-01,UnsatisfiedConstraint,NOBS,i2,SignatureSpec.mop:200,not-observed
SignatureSpec,SIGNATURE-ALG-02,UnsafeAlgorithm,ALG,i3,SignatureSpec.mop:210,violation
SignatureSpec,SIGNATURE-ALG-03,UnsafeAlgorithm,ALG,i4,SignatureSpec.mop:222,violation
SignatureSpec,SIGNATURE-CONSTR-02,UnsatisfiedConstraint,CONSTR,i4,SignatureSpec.mop:227,violation
SignatureSpec,SIGNATURE-NOBS-02,UnsatisfiedConstraint,NOBS,i4,SignatureSpec.mop:235,not-observed
SignatureSpec,SIGNATURE-NOBS-03,UnsatisfiedConstraint,NOBS,i4,SignatureSpec.mop:231,upstream-refused
SignatureSpec,SIGNATURE-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,SignatureSpec.mop:330,sequence
SignatureSpec,SIGNATURE-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,SignatureSpec.mop:322,creation-unobserved
TrustManagerFactorySpec,TRUSTMANAGERFACTORY-ALG-00,UnsafeAlgorithm,ALG,init,TrustManagerFactorySpec.mop:157,violation
TrustManagerFactorySpec,TRUSTMANAGERFACTORY-CONSTR-00,UnsatisfiedConstraint,CONSTR,init,TrustManagerFactorySpec.mop:183,violation
TrustManagerFactorySpec,TRUSTMANAGERFACTORY-CONSTR-01,UnsatisfiedConstraint,CONSTR,init,TrustManagerFactorySpec.mop:202,violation
TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,UnsatisfiedConstraint,NOBS,init,TrustManagerFactorySpec.mop:191,not-observed
TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-01,UnsatisfiedConstraint,NOBS,init,TrustManagerFactorySpec.mop:206,not-observed
TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-02,UnsatisfiedConstraint,NOBS,init,TrustManagerFactorySpec.mop:187,platform-default
TrustManagerFactorySpec,TRUSTMANAGERFACTORY-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,TrustManagerFactorySpec.mop:301,sequence
TrustManagerFactorySpec,TRUSTMANAGERFACTORY-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,TrustManagerFactorySpec.mop:293,creation-unobserved
