spec,error,class,className,method
CipherSpec,ConstraintError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase4,BrokenCryptoABICase4,go
KeyGeneratorSpec,ConstraintError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase4,BrokenCryptoABICase4,go
CipherSpec,RequiredPredicateError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase4,BrokenCryptoABICase4,go
CipherSpec,RequiredPredicateError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase15,BrokenCryptoABICase15,method1
CipherSpec,ConstraintError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase15,BrokenCryptoABICase15,method1
KeyGeneratorSpec,ConstraintError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase15,BrokenCryptoABICase15,method1
CipherSpec,ConstraintError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase2,BrokenCryptoABPSCase2,go
CipherSpec,RequiredPredicateError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase2,BrokenCryptoABPSCase2,go
CipherSpec,ConstraintError,br.unb.cic.mop.bench02.brokencrypto.Crypto3,Crypto3,encrypt
CipherSpec,RequiredPredicateError,br.unb.cic.mop.bench02.brokencrypto.Crypto3,Crypto3,encrypt
CipherSpec,TypestateError,br.unb.cic.mop.bench02.brokencrypto.Crypto3,Crypto3,encrypt
KeyGeneratorSpec,ConstraintError,br.unb.cic.mop.bench02.brokencrypto.Crypto3,Crypto3,encrypt
KeyGeneratorSpec,ConstraintError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC5,BrokenCryptoABMC5,go
CipherSpec,ConstraintError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC5,BrokenCryptoABMC5,go
CipherSpec,RequiredPredicateError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC5,BrokenCryptoABMC5,go
KeyGeneratorSpec,ConstraintError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC1,BrokenCryptoABMC1,go
CipherSpec,ConstraintError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC1,BrokenCryptoABMC1,go
CipherSpec,RequiredPredicateError,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC1,BrokenCryptoABMC1,go
